candidate_id,rank,score,reasoning
CAND_0036863,36,0.23507915,"Edges out CAND_0048558 in a close ranking call due to stronger Faiss similarity-search experience, coupled with higher skill assessment performance (76/100 vs 0/100 avg), despite less explicit Elasticsearch hybrid-search experience, along with lower response rate (46% vs 80%). A Senior Data Scientist at upGrad, they previously built their expertise at Wysa before taking on their current role, and large-company operating experience (1001-5000). They exhibit strong engagement signals, including poor platform responsiveness (46% response rate) and clear active-search intent (19 applications and open to work), with market validation signals including 57 recruiter saves, 91 recruiter views, 987 search appearances, alongside an exceptionally fast recruiter response time (12h average). With 4.3 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Faiss for dense similarity search, coupled with Qdrant for vector retrieval. They are available within a standard 60-day notice period and align well with the team's operational timeline."
CAND_0048558,37,0.23476797,"Edges out CAND_0051004 marginally owing to stronger Elasticsearch hybrid-search experience, coupled with higher recruiter response rate (80% vs 41%), even with lower skill assessment performance (0/100 vs 75/100 avg), along with less explicit PyTorch depth. With 6.7 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Elasticsearch for hybrid keyword search, coupled with Qdrant for vector retrieval. Platform metrics indicate generally consistent platform engagement (80% response rate) and active job-seeking intent (open to work, 6 applications), with market validation signals including 30 recruiter saves, 122 recruiter views, 713 search appearances, alongside a highly responsive recruiter cadence (11h average). Based on their career arc from Paytm to Rephrase.ai, this Data Scientist has accumulated meaningful industry exposure, and small-company operating experience (11-50). Given their short 30-day notice period, they are available to onboard quickly and represent a high-value, low-risk hire."
CAND_0051004,38,0.22999968,"Holds a tight lead over CAND_0015578 on the back of stronger PyTorch depth and Qdrant retrieval experience, coupled with shorter notice period (15 vs 90 days), despite less explicit Faiss similarity-search experience and Pinecone hosting experience, along with lower response rate (41% vs 65%). Their profile highlights a moderate public contribution profile (GitHub: 31/100) along with a low 41% recruiter response rate, worth flagging and clear active-search intent (14 applications and open to work), with market validation signals including 4 recruiter saves, 145 recruiter views, 633 search appearances, alongside very quick recruiter follow-up (8h average). With 4.7 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with PyTorch-based model training, coupled with Qdrant for vector retrieval. A Senior Data Scientist at CRED, they previously built their expertise at Niramai before taking on their current role, and large-company operating experience (1001-5000). Given their short 15-day notice period, they are available to onboard quickly and represent a high-value, low-risk hire."
CAND_0015578,39,0.22673118,"Secures a higher rank than CAND_0026532 thanks to stronger RAG-specific experience and Transformer deployment experience, coupled with higher recruiter response rate (65% vs 52%), despite less explicit Milvus vector-search experience, along with somewhat lower JD relevance alignment. A AI Engineer at Zoho, they previously built their expertise at Glance before taking on their current role, and large-company operating experience (10001+). They maintain inconsistent platform responsiveness (65% response rate) and demonstrate a moderate open-source footprint (GitHub: 28/100) and clear active-search intent (16 applications and open to work), with market validation signals including 10 recruiter saves, 106 recruiter views, 692 search appearances, alongside a moderate recruiter response time (76h average). With 5.4 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Faiss for dense similarity search and Pinecone vector database hosting, plus retrieval-augmented generation (RAG) pipelines. They are available within a standard 90-day notice period and align well with the team's operational timeline."
CAND_0026532,40,0.21372759,"Edges out CAND_0064270 marginally owing to stronger Faiss similarity-search experience and Milvus vector-search experience, coupled with stronger GitHub activity (32 vs 0), even with less explicit Elasticsearch hybrid-search experience and PyTorch depth, along with lower response rate (52% vs 82%). With 4.8 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Faiss for dense similarity search and Milvus for high-dimensional vector search, plus Pinecone vector database hosting. Backed by steady GitHub coding activity (GitHub: 32/100), their active engagement is reflected in weak platform communication (52% response rate) and active job-seeking intent (open to work, 1 applications), with market validation signals including 42 recruiter saves, 236 recruiter views, 59 search appearances, alongside prompt recruiter follow-up (47h average). A Recommendation Systems Engineer at Zomato, they previously built their expertise at Mad Street Den before taking on their current role, and large-company operating experience (5001-10000). They are available within a standard 90-day notice period and align well with the team's operational timeline."
CAND_0064270,41,0.21116034,"Placed above CAND_0053605 in the list primarily owing to stronger Elasticsearch hybrid-search experience and PyTorch depth, coupled with stronger JD relevance alignment, even with less explicit RAG-specific experience, along with weaker behavioral engagement profile. They maintain a respectable 82% recruiter response rate throughout their platform activity and light application activity (1 applications this month), with market validation signals including 22 recruiter saves, 170 recruiter views, 692 search appearances, alongside a standard recruiter response window (74h average). Currently serving as a Applied ML Engineer at Verloop.io, this candidate brings a proven professional history with prior experience at Uber, and mid-market operating experience (51-200). With 4.2 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Elasticsearch for hybrid keyword search and PyTorch-based model training, plus Transformer-based model deployment. They are available within a standard 45-day notice period and align well with the team's operational timeline."
CAND_0053605,42,0.19577451,"Placed above CAND_0046132 in the list primarily owing to stronger RAG-specific experience, coupled with higher skill assessment performance (64/100 vs 48/100 avg), even with less explicit PyTorch depth, along with lower response rate (88% vs 94%). They maintain a solid 88% recruiter response rate throughout their platform activity and clear active-search intent (12 applications and open to work), with market validation signals including 26 recruiter saves, 33 recruiter views, 553 search appearances, alongside very quick recruiter follow-up (12h average). Currently serving as a Senior Software Engineer (ML) at Verloop.io, this candidate brings a proven professional history with prior experience at TCS, and mid-market operating experience (51-200). With 6.9 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with retrieval-augmented generation (RAG) pipelines. Given their short 30-day notice period, they are available to onboard quickly and represent a high-value, low-risk hire."
CAND_0046132,43,0.17653242,"Holds a tight lead over CAND_0066999 on the back of stronger PyTorch depth, coupled with higher recruiter response rate (94% vs 63%), despite less explicit Faiss similarity-search experience and Pinecone hosting experience, along with lower GitHub activity (0 vs 94). They maintain a strong 94% recruiter communication rate throughout their platform activity and active job-seeking intent (open to work, 8 applications), with market validation signals including 30 recruiter saves, 165 recruiter views, 363 search appearances, alongside very quick recruiter follow-up (4h average). With 4.3 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with PyTorch-based model training. Their professional journey from Meesho to their current position as AI Research Engineer at Verloop.io reflects deliberate career progression in this domain, and mid-market operating experience (51-200). Given their short 30-day notice period, they are available to onboard quickly and represent a high-value, low-risk hire."
CAND_0066999,44,0.16782011,"Nudges past CAND_0065430 narrowly thanks to stronger GitHub activity (94 vs 0), coupled with stronger Faiss similarity-search experience, notwithstanding less explicit Milvus vector-search experience, along with lower response rate (63% vs 71%). With 5.9 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Faiss for dense similarity search, coupled with Pinecone vector database hosting. Recruited from Amazon, they now operate as a Recommendation Systems Engineer at Microsoft, bringing cross-company perspective to the role, and large-company operating experience (10001+). Backed by an exceptional coding contribution profile (GitHub: 94/100), their active engagement is reflected in below-average platform engagement (63% response rate) and clear active-search intent (17 applications and open to work), with market validation signals including 29 recruiter saves, 167 recruiter views, 619 search appearances, alongside a highly responsive recruiter cadence (11h average). Given their short 15-day notice period, they are available to onboard quickly and represent a high-value, low-risk hire."
CAND_0065430,45,0.16629729,"Edges out CAND_0047542 marginally owing to stronger Milvus vector-search experience and Pinecone hosting experience, coupled with faster recruiter response time (33h vs 105h avg), even with less explicit Transformer deployment experience, along with lower GitHub activity (0 vs 15). With 4.4 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Milvus for high-dimensional vector search, coupled with Pinecone vector database hosting. Platform metrics indicate fair platform communication (71% response rate) and clear active-search intent (13 applications and open to work), with market validation signals including 9 recruiter saves, 128 recruiter views, 678 search appearances, alongside prompt recruiter follow-up (33h average). A ML Engineer at Mad Street Den, they previously built their expertise at Meesho before taking on their current role, and mid-market operating experience (201-500). They are available within a standard 45-day notice period and align well with the team's operational timeline."
CAND_0047542,46,0.15848273,"Holds a tight lead over CAND_0090155 on the back of stronger Transformer deployment experience, coupled with shorter notice period (45 vs 90 days), despite less explicit Milvus vector-search experience and Pinecone hosting experience, along with lower GitHub activity (15 vs 76). Their profile highlights a nascent GitHub coding profile (GitHub: 15/100) along with a developing 75% recruiter response rate and active job-seeking intent (open to work, 1 applications), with market validation signals including 14 recruiter saves, 20 recruiter views, 101 search appearances, alongside a stretched recruiter response window (105h average). With 5.0 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Transformer-based model deployment. Based on their career arc from Dream11 to Meesho, this Senior Software Engineer (ML) has accumulated meaningful industry exposure, and large-company operating experience (1001-5000). They are available within a standard 45-day notice period and align well with the team's operational timeline."
CAND_0090155,47,0.15539180,"Edges out CAND_0007009 in a close ranking call due to stronger Milvus vector-search experience and Pinecone hosting experience, coupled with stronger behavioral engagement profile, despite less explicit Transformer deployment experience, along with somewhat lower JD relevance alignment. Having transitioned from upGrad to Swiggy, they currently hold the role of ML Engineer and bring demonstrable cross-organisation experience, and large-company operating experience (5001-10000). They maintain inconsistent platform responsiveness (64% response rate) and demonstrate a strong coding contribution profile (GitHub: 76/100) and clear active-search intent (12 applications and open to work), with market validation signals including 27 recruiter saves, 201 recruiter views, 751 search appearances, alongside an exceptionally fast recruiter response time (18h average). With 5.8 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Milvus for high-dimensional vector search and Pinecone vector database hosting, plus Qdrant for vector retrieval. They are available within a standard 90-day notice period and align well with the team's operational timeline."
CAND_0007009,48,0.15217512,"Holds a tight lead over CAND_0027691 on the back of stronger Transformer deployment experience, coupled with stronger JD relevance alignment, despite lower skill assessment performance (51/100 vs 70/100 avg), along with weaker behavioral engagement profile. Their profile highlights a robust open-source footprint (GitHub: 69/100) along with a limited 62% recruiter response rate and clear active-search intent (13 applications and open to work), with market validation signals including 5 recruiter saves, 85 recruiter views, 615 search appearances, alongside an efficient recruiter cadence (42h average). With 7.9 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Transformer-based model deployment. Their professional journey from Netflix to their current position as Recommendation Systems Engineer at Wysa reflects deliberate career progression in this domain, and mid-market operating experience (51-200). Given their short 30-day notice period, they are available to onboard quickly and represent a high-value, low-risk hire."
CAND_0027691,49,0.15145734,"Edges out CAND_0073314 with a slight edge from shorter notice period (15 vs 60 days), coupled with stronger JD relevance alignment, regardless of less explicit Elasticsearch hybrid-search experience and Milvus vector-search experience, along with weaker behavioral engagement profile. Their profile highlights a robust open-source footprint (GitHub: 58/100) along with a limited 68% recruiter response rate and active job-seeking intent (open to work, 1 applications), with market validation signals including 25 recruiter saves, 14 recruiter views, 100 search appearances, alongside very quick recruiter follow-up (15h average). With a career that spans Vedantu and now Haptik, this individual operates at the level of a seasoned NLP Engineer, and mid-market operating experience (201-500). With 6.5 years of experience, they possess a strong foundation in core software development and machine learning systems. Given their short 15-day notice period, they are available to onboard quickly and represent a high-value, low-risk hire."
CAND_0073314,50,0.14539412,"Edges out CAND_0068012 marginally owing to stronger Elasticsearch hybrid-search experience and Milvus vector-search experience, coupled with stronger GitHub activity (67 vs 0), even with somewhat lower JD relevance alignment. With 5.2 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Elasticsearch for hybrid keyword search and Milvus for high-dimensional vector search, plus PyTorch-based model training. Backed by a very active GitHub presence (GitHub: 67/100), their active engagement is reflected in generally consistent platform engagement (84% response rate) and active job-seeking intent (open to work, 3 applications), with market validation signals including 23 recruiter saves, 73 recruiter views, 257 search appearances, alongside a highly responsive recruiter cadence (10h average). A Senior Software Engineer (ML) at Aganitha, they previously built their expertise at Paytm before taking on their current role, and mid-market operating experience (51-200). They are available within a standard 60-day notice period and align well with the team's operational timeline."
CAND_0068012,51,0.13807117,"Edges out CAND_0090093 by a narrow margin driven by higher skill assessment performance (64/100 vs 0/100 avg), coupled with stronger behavioral engagement profile, despite less explicit Elasticsearch hybrid-search experience and Milvus vector-search experience, along with longer 120-day notice period. With a career that spans CRED and now Vedantu, this individual operates at the level of a seasoned Junior ML Engineer, and large-company operating experience (1001-5000). With 5.7 years of experience, they possess a strong foundation in core software development and machine learning systems. They exhibit strong engagement signals, including moderate platform responsiveness (71% response rate) and clear active-search intent (16 applications and open to work), with market validation signals including 10 recruiter saves, 23 recruiter views, 76 search appearances, alongside a fast recruiter response time (36h average). While they represent an excellent technical fit, their extended 120-day notice period will require scheduling coordination."
CAND_0090093,52,0.13224215,"Nudges past CAND_0018888 narrowly thanks to stronger Elasticsearch hybrid-search experience and Milvus vector-search experience, coupled with higher recruiter response rate (73% vs 55%), notwithstanding lower skill assessment performance (0/100 vs 76/100 avg), along with less explicit Faiss similarity-search experience. With 4.4 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Elasticsearch for hybrid keyword search, coupled with Milvus for high-dimensional vector search. This Data Scientist at Flipkart has a track record that includes a notable tenure at Dream11, signaling strong domain continuity, and large-company operating experience (10001+). Backed by steady GitHub coding activity (GitHub: 26/100), their active engagement is reflected in fair platform communication (73% response rate) and clear active-search intent (15 applications and open to work), with market validation signals including 22 recruiter saves, 28 recruiter views, 314 search appearances, alongside a highly responsive recruiter cadence (5h average). They are available within a standard 60-day notice period and align well with the team's operational timeline."
CAND_0018888,53,0.13044010,"Stands above CAND_0010149 on the strength of stronger Faiss similarity-search experience, coupled with shorter notice period (30 vs 90 days), notwithstanding less explicit Elasticsearch hybrid-search experience and Milvus vector-search experience, along with lower response rate (55% vs 82%). With 6.5 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Faiss for dense similarity search. With a career that spans Vedantu and now Razorpay, this individual operates at the level of a seasoned AI Research Engineer, and large-company operating experience (1001-5000). Backed by a very active GitHub presence (GitHub: 51/100), their active engagement is reflected in below-average platform engagement (55% response rate) and light application activity (6 applications this month), with market validation signals including 22 recruiter saves, 36 recruiter views, 658 search appearances, alongside prompt recruiter follow-up (40h average). Given their short 30-day notice period, they are available to onboard quickly and represent a high-value, low-risk hire."
CAND_0010149,54,0.10912036,"Nudges past CAND_0045475 narrowly thanks to stronger Elasticsearch hybrid-search experience and Milvus vector-search experience, coupled with higher recruiter response rate (82% vs 55%), notwithstanding less explicit Faiss similarity-search experience and Pinecone hosting experience, along with longer 90-day notice period. With 6.9 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Elasticsearch for hybrid keyword search, coupled with Milvus for high-dimensional vector search. Recruited from InMobi, they now operate as a ML Engineer at Glance, bringing cross-company perspective to the role, and large-company operating experience (501-1000). Backed by limited public repository activity (GitHub: 18/100), their active engagement is reflected in generally consistent platform engagement (82% response rate) and clear active-search intent (10 applications and open to work), with market validation signals including 45 recruiter saves, 181 recruiter views, 441 search appearances, alongside a highly responsive recruiter cadence (4h average). They are available within a standard 90-day notice period and align well with the team's operational timeline."
CAND_0045475,55,0.10591080,"Edges out CAND_0046459 with a slight edge from stronger Faiss similarity-search experience and Pinecone hosting experience, coupled with higher skill assessment performance (53/100 vs 0/100 avg), regardless of less explicit Qdrant retrieval experience and RAG-specific experience, along with lower response rate (55% vs 84%). Their profile highlights a moderate public contribution profile (GitHub: 41/100) along with a limited 55% recruiter response rate and active job-seeking intent (open to work, 4 applications), with market validation signals including 27 recruiter saves, 37 recruiter views, 625 search appearances, alongside an efficient recruiter cadence (44h average). With a career that spans Razorpay and now Genpact AI, this individual operates at the level of a seasoned ML Engineer, and large-company operating experience (10001+). With 4.9 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Faiss for dense similarity search and Pinecone vector database hosting, plus PyTorch-based model training. They are available within a standard 60-day notice period and align well with the team's operational timeline."
CAND_0046459,56,0.10536573,"Holds a tight lead over CAND_0040955 on the back of stronger Qdrant retrieval experience and RAG-specific experience, coupled with higher recruiter response rate (84% vs 51%), despite less explicit Transformer deployment experience, along with lower skill assessment performance (0/100 vs 70/100 avg). Their profile highlights a moderate public contribution profile (GitHub: 25/100) along with a respectable 84% recruiter response rate and clear active-search intent (10 applications and open to work), with market validation signals including 9 recruiter saves, 107 recruiter views, 574 search appearances, alongside a standard recruiter response window (54h average). With 4.5 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Qdrant for vector retrieval, coupled with retrieval-augmented generation (RAG) pipelines. Having transitioned from Wipro to upGrad, they currently hold the role of AI Research Engineer and bring demonstrable cross-organisation experience, and large-company operating experience (1001-5000). Given their short 30-day notice period, they are available to onboard quickly and represent a high-value, low-risk hire."
CAND_0040955,57,0.10365044,"Ranked above CAND_0019880 due to stronger Transformer deployment experience, coupled with higher skill assessment performance (70/100 vs 49/100 avg), despite lower response rate (51% vs 68%). Recruited from TCS, they now operate as a Junior ML Engineer at Rephrase.ai, bringing cross-company perspective to the role, and small-company operating experience (11-50). With 6.6 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Transformer-based model deployment. They exhibit strong engagement signals, including poor platform responsiveness (51% response rate) and visible application activity (14 applications this month), with market validation signals including 26 recruiter saves, 111 recruiter views, 518 search appearances, alongside a slower recruiter response time (98h average). Given their short 30-day notice period, they are available to onboard quickly and represent a high-value, low-risk hire."
CAND_0019880,58,0.09228257,"Edges out CAND_0035879 in a close ranking call due to shorter notice period (30 vs 120 days), coupled with stronger JD relevance alignment, despite less explicit Elasticsearch hybrid-search experience and Pinecone hosting experience, along with lower GitHub activity (0 vs 84). A AI Specialist at Aganitha, they previously built their expertise at Wipro before taking on their current role, and mid-market operating experience (51-200). They exhibit strong engagement signals, including inconsistent platform responsiveness (68% response rate) and clear active-search intent (14 applications and open to work), with market validation signals including 15 recruiter saves, 199 recruiter views, 281 search appearances, alongside a moderate recruiter response time (80h average). With 5.7 years of experience, they possess a strong foundation in core software development and machine learning systems. Given their short 30-day notice period, they are available to onboard quickly and represent a high-value, low-risk hire."
CAND_0035879,59,0.09065347,"Edges out CAND_0039522 in a close ranking call due to stronger Elasticsearch hybrid-search experience and Pinecone hosting experience, coupled with stronger GitHub activity (84 vs 0), despite longer 120-day notice period. Their professional journey from Nykaa to their current position as AI Research Engineer at Krutrim reflects deliberate career progression in this domain, and mid-market operating experience (201-500). They maintain steady platform responsiveness (82% response rate) and demonstrate an outstanding open-source footprint (GitHub: 84/100) and active job-seeking intent (open to work, 1 applications), with market validation signals including 37 recruiter saves, 193 recruiter views, 763 search appearances, alongside an exceptionally fast recruiter response time (10h average). With 4.5 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Elasticsearch for hybrid keyword search, coupled with Pinecone vector database hosting. While they represent an excellent technical fit, their extended 120-day notice period will require scheduling coordination."
CAND_0039522,60,0.08959003,"Nudges past CAND_0007460 narrowly thanks to shorter notice period (60 vs 120 days), coupled with higher recruiter response rate (69% vs 48%), notwithstanding less explicit RAG-specific experience, along with lower GitHub activity (0 vs 53). With 6.9 years of experience, they possess a strong foundation in core software development and machine learning systems. This Senior Data Engineer at Ola has a track record that includes a notable tenure at InMobi, signaling strong domain continuity, and large-company operating experience (5001-10000). Platform metrics indicate below-average platform engagement (69% response rate) and clear active-search intent (11 applications and open to work), with market validation signals including 14 recruiter saves, 81 recruiter views, 129 search appearances, alongside prompt recruiter follow-up (36h average). They are available within a standard 60-day notice period and align well with the team's operational timeline."
CAND_0007460,61,0.08810593,"Edges out CAND_0073620 by a narrow margin driven by stronger RAG-specific experience, coupled with stronger GitHub activity (53 vs 17), despite less explicit Faiss similarity-search experience, along with lower response rate (48% vs 63%). Currently placed as a AI Engineer at Salesforce, they show consistent specialisation in the domain relevant to this role, reflecting large-company operating experience (10001+). With 4.7 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with retrieval-augmented generation (RAG) pipelines. They maintain poor platform responsiveness (48% response rate) and demonstrate a strong coding contribution profile (GitHub: 53/100) and clear active-search intent (17 applications and open to work), with market validation signals including 11 recruiter saves, 211 recruiter views, 1047 search appearances, alongside a fast recruiter response time (31h average). While they represent an excellent technical fit, their extended 120-day notice period will require scheduling coordination."
CAND_0073620,62,0.08491116,"Edges out CAND_0070514 marginally owing to stronger JD relevance alignment, even with less explicit Pinecone hosting experience, along with lower response rate (63% vs 80%). With 4.4 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Faiss for dense similarity search. Backed by limited public repository activity (GitHub: 17/100), their active engagement is reflected in below-average platform engagement (63% response rate) and clear active-search intent (14 applications and open to work), with market validation signals including 11 recruiter saves, 43 recruiter views, 704 search appearances, alongside a highly responsive recruiter cadence (12h average). A AI Research Engineer at TCS, they previously built their expertise at Wysa before taking on their current role, and large-company operating experience (10001+). They are available within a standard 90-day notice period and align well with the team's operational timeline."
CAND_0070514,63,0.07859647,"Edges out CAND_0091745 by a narrow margin driven by stronger Faiss similarity-search experience and Pinecone hosting experience, coupled with higher recruiter response rate (80% vs 53%), despite less explicit PyTorch depth and Transformer deployment experience, along with longer 60-day notice period. With a career that spans BYJU'S and now Glance, this individual operates at the level of a seasoned AI Specialist, and large-company operating experience (501-1000). With 5.5 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Faiss for dense similarity search, coupled with Pinecone vector database hosting. They maintain steady platform responsiveness (80% response rate) and demonstrate a moderate open-source footprint (GitHub: 41/100) and clear active-search intent (16 applications and open to work), with market validation signals including 15 recruiter saves, 64 recruiter views, 764 search appearances, alongside an exceptionally fast recruiter response time (9h average). They are available within a standard 60-day notice period and align well with the team's operational timeline."
CAND_0091745,64,0.06935422,"Edges out CAND_0039383 in a close ranking call due to stronger PyTorch depth, coupled with shorter notice period (30 vs 90 days), despite less explicit Elasticsearch hybrid-search experience and Faiss similarity-search experience, along with lower GitHub activity (32 vs 86). A Junior ML Engineer at Locobuzz, they previously built their expertise at Swiggy before taking on their current role, and mid-market operating experience (51-200). They maintain poor platform responsiveness (53% response rate) and demonstrate a moderate open-source footprint (GitHub: 32/100) and visible application activity (14 applications this month), with market validation signals including 1 recruiter saves, 155 recruiter views, 138 search appearances, alongside a fast recruiter response time (43h average). With 5.9 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with PyTorch-based model training, coupled with Transformer-based model deployment. Given their short 30-day notice period, they are available to onboard quickly and represent a high-value, low-risk hire."
CAND_0039383,65,0.06660706,"Edges out CAND_0043312 in a close ranking call due to stronger Elasticsearch hybrid-search experience and Faiss similarity-search experience, coupled with stronger JD relevance alignment, despite less explicit PyTorch depth and Qdrant retrieval experience, along with longer 90-day notice period. A Applied ML Engineer at Meesho, they previously built their expertise at Paytm before taking on their current role, and large-company operating experience (1001-5000). They maintain inconsistent platform responsiveness (61% response rate) and demonstrate an outstanding open-source footprint (GitHub: 86/100) and clear active-search intent (18 applications and open to work), with market validation signals including 34 recruiter saves, 283 recruiter views, 388 search appearances, alongside a moderate recruiter response time (68h average). With 7.1 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Elasticsearch for hybrid keyword search and Faiss for dense similarity search, plus Transformer-based model deployment. They are available within a standard 90-day notice period and align well with the team's operational timeline."
CAND_0043312,66,0.06607261,"Edges out CAND_0043829 with a slight edge from stronger PyTorch depth and RAG-specific experience, coupled with shorter notice period (30 vs 90 days), regardless of weaker behavioral engagement profile, along with lower response rate (73% vs 78%). Their profile highlights a robust open-source footprint (GitHub: 74/100) along with a developing 73% recruiter response rate and light application activity (4 applications this month), with market validation signals including 17 recruiter saves, 47 recruiter views, 722 search appearances, alongside a standard recruiter response window (74h average). Currently placed as a AI Research Engineer at Haptik, they show consistent specialisation in the domain relevant to this role, reflecting mid-market operating experience (201-500). With 4.2 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with PyTorch-based model training and Qdrant for vector retrieval, plus retrieval-augmented generation (RAG) pipelines. Given their short 30-day notice period, they are available to onboard quickly and represent a high-value, low-risk hire."
CAND_0043829,67,0.06568414,"Edges out CAND_0047327 in a close ranking call due to higher skill assessment performance (56/100 vs 0/100 avg), coupled with stronger GitHub activity (39 vs 0), despite less explicit Elasticsearch hybrid-search experience and Faiss similarity-search experience, along with longer 90-day notice period. Operating as a AI Research Engineer at Observe.AI, this candidate presents a focused professional identity in ML and retrieval systems, reflecting mid-market operating experience (201-500). They maintain steady platform responsiveness (78% response rate) and demonstrate a moderate open-source footprint (GitHub: 39/100) and active job-seeking intent (open to work, 6 applications), with market validation signals including 36 recruiter saves, 165 recruiter views, 518 search appearances, alongside an exceptionally fast recruiter response time (11h average). With 4.8 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Qdrant for vector retrieval. They are available within a standard 90-day notice period and align well with the team's operational timeline."
CAND_0047327,68,0.06133283,"Ranked above CAND_0072688 due to stronger Elasticsearch hybrid-search experience and Faiss similarity-search experience, coupled with stronger JD relevance alignment, despite less explicit Milvus vector-search experience, along with lower skill assessment performance (0/100 vs 66/100 avg). Recruited from PharmEasy, they now operate as a Junior ML Engineer at Vedantu, bringing cross-company perspective to the role, and large-company operating experience (1001-5000). With 5.0 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Elasticsearch for hybrid keyword search and Faiss for dense similarity search, plus Qdrant for vector retrieval. They exhibit strong engagement signals, including inconsistent platform responsiveness (60% response rate) and visible application activity (17 applications this month), with market validation signals including 13 recruiter saves, 71 recruiter views, 637 search appearances, alongside a slower recruiter response time (117h average). They are available within a standard 60-day notice period and align well with the team's operational timeline."
CAND_0072688,69,0.05084399,"Edges out CAND_0089947 with a slight edge from stronger Milvus vector-search experience and Qdrant retrieval experience, coupled with higher recruiter response rate (87% vs 59%), regardless of less explicit Elasticsearch hybrid-search experience, along with lower GitHub activity (11 vs 48). Their profile highlights a nascent GitHub coding profile (GitHub: 11/100) along with a solid 87% recruiter response rate and clear active-search intent (18 applications and open to work), with market validation signals including 32 recruiter saves, 87 recruiter views, 749 search appearances, alongside very quick recruiter follow-up (2h average). Recruited from PolicyBazaar, they now operate as a Data Scientist at Niramai, bringing cross-company perspective to the role, and mid-market operating experience (51-200). With 6.9 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Milvus for high-dimensional vector search, coupled with Qdrant for vector retrieval. They are available within a standard 45-day notice period and align well with the team's operational timeline."
CAND_0089947,70,0.04765158,"Edges out CAND_0009837 with a slight edge from stronger Elasticsearch hybrid-search experience, coupled with stronger behavioral engagement profile, regardless of less explicit Faiss similarity-search experience and PyTorch depth, along with longer 90-day notice period. Their profile highlights a moderate public contribution profile (GitHub: 48/100) along with a limited 59% recruiter response rate and light application activity (5 applications this month), with market validation signals including 40 recruiter saves, 217 recruiter views, 777 search appearances, alongside a standard recruiter response window (65h average). This Junior ML Engineer at Saarthi.ai has a track record that includes a notable tenure at Zoho, signaling strong domain continuity, and small-company operating experience (11-50). With 5.4 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Elasticsearch for hybrid keyword search. They are available within a standard 90-day notice period and align well with the team's operational timeline."
CAND_0009837,71,0.04719255,"Nudges past CAND_0019288 narrowly thanks to stronger PyTorch depth and Qdrant retrieval experience, coupled with stronger GitHub activity (54 vs 0), notwithstanding longer 60-day notice period, along with slower recruiter response time (70h vs 29h avg). With 4.3 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Faiss for dense similarity search and PyTorch-based model training, plus Qdrant for vector retrieval. This candidate is currently active as a Senior Data Scientist at Rephrase.ai, demonstrating a solid trajectory in engineering, reflecting small-company operating experience (11-50). Backed by a very active GitHub presence (GitHub: 54/100), their active engagement is reflected in weak platform communication (53% response rate) and visible application activity (12 applications this month), with market validation signals including 3 recruiter saves, 140 recruiter views, 259 search appearances, alongside a workable recruiter follow-up cadence (70h average). They are available within a standard 60-day notice period and align well with the team's operational timeline."
